P,Bandgap,Enthalpy,Total Energy,Theta,Phi,Length1,Length2,Length3,a,b,c,Volume,logi,logo,log1,log2,log3,loga,logb,logc,A_mass,B_mass,X_mass
0,1.8347,-15780.94093,-15780.94097,12.204446,8.111539,3.237995,3.259452,3.245837,9.064936,12.700443,8.736607,1005.834292,2.5018,2.093288,1.174954,1.181559,1.177373,2.204414,2.541637,2.167522,132.905,207.2,126.904
1,1.8334,-15780.87768,-15780.94044,12.205072,8.098574,3.237837,3.259461,3.244653,9.062661,12.70046,8.736206,1005.536923,2.501852,2.091688,1.174905,1.181562,1.177008,2.204163,2.541638,2.167476,132.905,207.2,126.904
2,1.8334,-15780.81492,-15780.94044,12.205072,8.098574,3.237837,3.259461,3.244653,9.062661,12.70046,8.736206,1005.536923,2.501852,2.091688,1.174905,1.181562,1.177008,2.204163,2.541638,2.167476,132.905,207.2,126.904
3,1.8334,-15780.75216,-15780.94044,12.205072,8.098574,3.237837,3.259461,3.244653,9.062661,12.70046,8.736206,1005.536923,2.501852,2.091688,1.174905,1.181562,1.177008,2.204163,2.541638,2.167476,132.905,207.2,126.904
4,1.8334,-15780.68939,-15780.94044,12.205072,8.098574,3.237837,3.259461,3.244653,9.062661,12.70046,8.736206,1005.536923,2.501852,2.091688,1.174905,1.181562,1.177008,2.204163,2.541638,2.167476,132.905,207.2,126.904
5,1.8334,-15780.62663,-15780.94044,12.205072,8.098574,3.237837,3.259461,3.244653,9.062661,12.70046,8.736206,1005.536923,2.501852,2.091688,1.174905,1.181562,1.177008,2.204163,2.541638,2.167476,132.905,207.2,126.904
6,1.8331,-15780.56469,-15780.94093,12.204183,8.118669,3.236855,3.258218,3.245229,9.062716,12.695618,8.73348,1004.846088,2.501779,2.094166,1.174602,1.18118,1.177186,2.204169,2.541257,2.167164,132.905,207.2,126.904
7,1.8323,-15780.50257,-15780.9411,12.203556,8.133523,3.235886,3.257082,3.245251,9.061887,12.691078,8.73064,1004.068272,2.501727,2.095994,1.174303,1.180832,1.177193,2.204077,2.540899,2.166839,132.905,207.2,126.904
8,1.831,-15780.44039,-15780.94106,12.20327,8.144707,3.234851,3.255912,3.244995,9.060436,12.686461,8.72771,1003.205493,2.501704,2.097368,1.173983,1.180472,1.177114,2.203917,2.540535,2.166503,132.905,207.2,126.904
9,1.8302,-15780.37786,-15780.94087,12.203345,8.144856,3.234405,3.255455,3.244604,9.059258,12.684708,8.726547,1002.802781,2.50171,2.097387,1.173845,1.180332,1.176993,2.203787,2.540397,2.16637,132.905,207.2,126.904
10,1.8294,-15780.31536,-15780.94065,12.203643,8.145482,3.233967,3.255015,3.24414,9.05801,12.682954,8.725286,1002.381144,2.501735,2.097463,1.17371,1.180197,1.17685,2.203649,2.540259,2.166225,132.905,207.2,126.904
11,1.8242,-15780.1917,-15780.9393,12.204059,8.182939,3.230217,3.25088,3.242543,9.051724,12.666354,8.714205,999.10401,2.501769,2.102051,1.172549,1.178926,1.176358,2.202955,2.538949,2.164954,132.905,207.2,126.904
12,1.8242,-15780.1917,-15780.9393,12.204059,8.182939,3.230217,3.25088,3.242543,9.051724,12.666354,8.714205,999.10401,2.501769,2.102051,1.172549,1.178926,1.176358,2.202955,2.538949,2.164954,132.905,207.2,126.904
13,1.8228,-15780.12937,-15780.93872,12.204546,8.183592,3.2295,3.250154,3.241843,9.049745,12.663507,8.712225,998.434147,2.501809,2.102131,1.172327,1.178702,1.176142,2.202737,2.538724,2.164727,132.905,207.2,126.904
14,1.8214,-15780.06708,-15780.93809,12.205182,8.184316,3.228784,3.249426,3.241144,9.047753,12.660661,8.710242,997.762896,2.501861,2.10222,1.172105,1.178478,1.175926,2.202516,2.5385,2.1645,132.905,207.2,126.904
15,1.8224,-15780.00834,-15780.93769,12.236686,8.4677,3.227051,3.246561,3.242866,9.056343,12.638609,8.68385,993.949834,2.504439,2.136259,1.171569,1.177596,1.176458,2.203465,2.536756,2.161465,132.905,207.2,126.904
16,1.822,-15779.94632,-15780.9368,12.248549,8.500086,3.226558,3.245912,3.242609,9.055797,12.634887,8.679696,993.121928,2.505407,2.140076,1.171416,1.177396,1.176378,2.203405,2.536462,2.160987,132.905,207.2,126.904
17,1.8214,-15779.88427,-15780.93593,12.258966,8.516456,3.226047,3.245294,3.242182,9.054445,12.63197,8.676816,992.415035,2.506258,2.142,1.171258,1.177206,1.176247,2.203256,2.536231,2.160655,132.905,207.2,126.904
18,1.8214,-15779.82232,-15780.93509,12.271424,8.544427,3.225704,3.244829,3.241929,9.053893,12.629059,8.673357,991.730211,2.507273,2.145279,1.171151,1.177063,1.176168,2.203195,2.536,2.160256,132.905,207.2,126.904
19,1.8299,-15779.76134,-15780.93991,12.276875,8.633618,3.231361,3.250001,3.244026,9.064839,12.645738,8.678,994.772821,2.507717,2.155664,1.172903,1.178655,1.176815,2.204403,2.53732,2.160791,132.905,207.2,126.904
20,1.8291,-15779.69937,-15780.93918,12.287929,8.634978,3.230762,3.249343,3.243514,9.062752,12.643318,8.676151,994.14152,2.508617,2.155821,1.172718,1.178453,1.176657,2.204173,2.537129,2.160578,132.905,207.2,126.904
21,1.8283,-15779.63745,-15780.93832,12.299048,8.637992,3.230055,3.248595,3.243001,9.06065,12.640394,8.673973,993.431753,2.509522,2.15617,1.172499,1.178223,1.176499,2.203941,2.536898,2.160327,132.905,207.2,126.904
22,1.8279,-15779.57565,-15780.93786,12.307053,8.644619,3.229828,3.248283,3.242473,9.059074,12.63908,8.672474,992.984015,2.510173,2.156937,1.172429,1.178127,1.176336,2.203767,2.536794,2.160154,132.905,207.2,126.904
23,1.8277,-15779.51393,-15780.93752,12.314157,8.653596,3.22976,3.248096,3.241908,9.057602,12.638222,8.671068,992.59433,2.51075,2.157975,1.172408,1.178069,1.176162,2.203604,2.536726,2.159992,132.905,207.2,126.904
24,1.8269,-15779.4521,-15780.93658,12.32554,8.656417,3.229074,3.247377,3.241441,9.055673,12.635405,8.668915,991.915372,2.511674,2.158301,1.172195,1.177847,1.176018,2.203391,2.536503,2.159744,132.905,207.2,126.904
25,1.8262,-15779.39026,-15780.93549,12.338622,8.658691,3.228296,3.246584,3.241089,9.053842,12.632286,8.666682,991.21463,2.512734,2.158564,1.171955,1.177603,1.17591,2.203189,2.536256,2.159486,132.905,207.2,126.904
26,1.8293,-15779.33355,-15780.93018,12.306288,9.271962,3.232385,3.247476,3.235557,9.053583,12.609042,8.62921,985.084731,2.51011,2.226995,1.17322,1.177878,1.174201,2.203161,2.534414,2.155153,132.905,207.2,126.904
27,1.8291,-15779.27194,-15780.92932,12.327163,9.268952,3.23225,3.247285,3.234867,9.051651,12.608731,8.62753,984.658559,2.511805,2.22667,1.173179,1.177819,1.173988,2.202947,2.53439,2.154958,132.905,207.2,126.904
28,1.8279,-15779.21033,-15780.92767,12.348773,9.257857,3.231514,3.246461,3.233884,9.048391,12.606624,8.624952,983.845459,2.513557,2.225473,1.172951,1.177565,1.173684,2.202587,2.534222,2.154659,132.905,207.2,126.904
29,1.8053,-15779.14055,-15780.92404,12.281976,8.365119,3.218462,3.23811,3.232969,9.02424,12.610521,8.667653,986.382116,2.508133,2.124071,1.168904,1.17499,1.173401,2.199914,2.534531,2.159598,132.905,207.2,126.904
30,1.801,-15779.07732,-15780.92225,12.250034,8.278824,3.217416,3.237477,3.231035,9.018741,12.611075,8.671963,986.314577,2.505529,2.113701,1.168579,1.174794,1.172803,2.199305,2.534575,2.160095,132.905,207.2,126.904
31,1.8013,-15779.01613,-15780.92194,12.26046,8.298046,3.21734,3.237304,3.231013,9.018695,12.609732,8.669978,985.978722,2.506379,2.11602,1.168555,1.174741,1.172796,2.1993,2.534469,2.159866,132.905,207.2,126.904
32,1.8011,-15778.95484,-15780.92118,12.269271,8.313064,3.21702,3.236902,3.23079,9.017988,12.607666,8.667762,985.487923,2.507098,2.117828,1.168455,1.174617,1.172727,2.199221,2.534305,2.159611,132.905,207.2,126.904
33,1.7989,-15778.89289,-15780.91948,12.263082,8.29491,3.216178,3.236135,3.229782,9.015079,12.605342,8.667011,984.903094,2.506593,2.115642,1.168194,1.17438,1.172415,2.198899,2.534121,2.159524,132.905,207.2,126.904
34,1.7989,-15778.8318,-15780.91868,12.274579,8.31527,3.215869,3.235714,3.229635,9.014533,12.603035,8.664388,984.365231,2.50753,2.118094,1.168098,1.17425,1.172369,2.198838,2.533938,2.159221,132.905,207.2,126.904
35,1.7969,-15778.77006,-15780.91688,12.271409,8.304614,3.215023,3.234907,3.228715,9.011859,12.600291,8.663009,983.702474,2.507272,2.116811,1.167834,1.174,1.172084,2.198541,2.53372,2.159062,132.905,207.2,126.904
36,1.7966,-15778.70885,-15780.91607,12.278977,8.315434,3.214728,3.234549,3.228469,9.011064,12.59855,8.661204,983.274864,2.507889,2.118113,1.167743,1.17389,1.172008,2.198453,2.533582,2.158854,132.905,207.2,126.904
37,1.7971,-15778.64815,-15780.91515,12.298002,8.350143,3.21448,3.234106,3.228474,9.010869,12.595693,8.657482,982.608078,2.509437,2.122279,1.167666,1.173753,1.17201,2.198432,2.533355,2.158424,132.905,207.2,126.904
38,1.7945,-15778.58612,-15780.91332,12.285084,8.319268,3.213585,3.233361,3.227346,9.007677,12.593859,8.657726,982.144727,2.508386,2.118574,1.167387,1.173522,1.17166,2.198077,2.533209,2.158452,132.905,207.2,126.904
39,1.8246,-15778.53655,-15780.91383,12.545633,9.308209,3.226311,3.241821,3.229373,9.030041,12.583225,8.604061,977.653945,2.529373,2.230897,1.171339,1.176135,1.172288,2.200557,2.532365,2.152234,132.905,207.2,126.904
40,1.824,-15778.47586,-15780.91262,12.555573,9.311326,3.224264,3.240731,3.230677,9.030388,12.575041,8.604045,977.053907,2.530165,2.231232,1.170705,1.175799,1.172692,2.200595,2.531714,2.152232,132.905,207.2,126.904
41,1.8238,-15778.41479,-15780.91081,12.577542,9.321449,3.224326,3.240469,3.229613,9.027968,12.57467,8.60084,976.399245,2.531913,2.232318,1.170724,1.175718,1.172362,2.200327,2.531684,2.15186,132.905,207.2,126.904
42,1.8233,-15778.35393,-15780.90956,12.590193,9.321219,3.223333,3.239844,3.229798,9.027119,12.570825,8.599884,975.900523,2.532918,2.232293,1.170416,1.175525,1.17242,2.200233,2.531379,2.151749,132.905,207.2,126.904
43,1.8231,-15778.29297,-15780.90752,12.613582,9.336343,3.223333,3.239545,3.228811,9.024861,12.56991,8.596291,975.17772,2.534774,2.233915,1.170416,1.175433,1.172114,2.199983,2.531306,2.151331,132.905,207.2,126.904
44,1.823,-15778.23224,-15780.9061,12.629891,9.343622,3.222363,3.238898,3.229141,9.024218,12.565687,8.594896,974.622528,2.536066,2.234694,1.170115,1.175233,1.172216,2.199912,2.53097,2.151169,132.905,207.2,126.904
45,1.8226,-15778.1714,-15780.90414,12.649349,9.352803,3.222005,3.238447,3.228477,9.022246,12.563737,8.592108,973.942338,2.537606,2.235676,1.170004,1.175094,1.172011,2.199693,2.530815,2.150844,132.905,207.2,126.904
46,1.8223,-15778.11065,-15780.90247,12.666696,9.359405,3.221409,3.237929,3.228255,9.020872,12.561017,8.590116,973.357483,2.538976,2.236382,1.169819,1.174934,1.171942,2.199541,2.530598,2.150612,132.905,207.2,126.904
47,1.8233,-15778.05039,-15780.90096,12.689872,9.40118,3.218673,3.236796,3.231542,9.024963,12.547758,8.589407,972.690635,2.540804,2.240835,1.168969,1.174584,1.172959,2.199994,2.529542,2.15053,132.905,207.2,126.904
48,1.8219,-15777.98936,-15780.89879,12.704425,9.384237,3.220005,3.236896,3.228107,9.01894,12.554031,8.585493,972.084373,2.54195,2.239031,1.169383,1.174615,1.171896,2.199327,2.530042,2.150074,132.905,207.2,126.904
49,1.823,-15777.92905,-15780.89678,12.732926,9.426138,3.218259,3.236029,3.230091,9.02103,12.544617,8.583227,971.324066,2.544191,2.243486,1.16884,1.174347,1.17251,2.199559,2.529292,2.14981,132.905,207.2,126.904
50,1.8214,-15777.86819,-15780.89513,12.740472,9.402469,3.21865,3.23583,3.227909,9.016747,12.547654,8.581267,970.876244,2.544784,2.240972,1.168962,1.174286,1.171834,2.199084,2.529534,2.149582,132.905,207.2,126.904
51,1.8224,-15777.8079,-15780.89293,12.769254,9.441099,3.217051,3.23499,3.2296,9.018385,12.53903,8.578775,970.103258,2.54704,2.245072,1.168465,1.174026,1.172358,2.199265,2.528846,2.149291,132.905,207.2,126.904
52,1.8232,-15777.74754,-15780.89103,12.799287,9.477589,3.216248,3.234727,3.230384,9.019683,12.533667,8.575575,969.466327,2.549389,2.24893,1.168216,1.173945,1.172601,2.199409,2.528418,2.148918,132.905,207.2,126.904
53,1.8231,-15777.68708,-15780.8889,12.819752,9.491962,3.215506,3.234192,3.230424,9.018885,12.529893,8.573172,968.817016,2.550987,2.250445,1.167985,1.173779,1.172614,2.199321,2.528117,2.148638,132.905,207.2,126.904
54,1.8218,-15777.62648,-15780.88685,12.827122,9.471133,3.21545,3.233578,3.228811,9.014575,12.53098,8.57159,968.259205,2.551562,2.248249,1.167967,1.173589,1.172114,2.198843,2.528204,2.148453,132.905,207.2,126.904
55,1.8218,-15777.56612,-15780.88471,12.852789,9.492386,3.215538,3.233544,3.227987,9.013288,12.530022,8.567839,967.623475,2.553561,2.25049,1.167995,1.173579,1.171859,2.1987,2.528128,2.148016,132.905,207.2,126.904
56,1.8229,-15777.50593,-15780.88225,12.88503,9.530194,3.214174,3.232858,3.229455,9.014854,12.522383,8.564947,966.875031,2.556066,2.254465,1.16757,1.173366,1.172314,2.198874,2.527518,2.147678,132.905,207.2,126.904
57,1.8213,-15777.44539,-15780.8804,12.889556,9.504314,3.214807,3.232655,3.226879,9.009671,12.526472,8.562994,966.414266,2.556417,2.251746,1.167767,1.173304,1.171515,2.198299,2.527844,2.14745,132.905,207.2,126.904
58,1.823,-15777.38536,-15780.87797,12.927615,9.555485,3.213264,3.232018,3.229051,9.012677,12.5173,8.55986,965.675239,2.559366,2.257115,1.167287,1.173107,1.172188,2.198632,2.527112,2.147084,132.905,207.2,126.904
59,1.8247,-15777.32528,-15780.87501,12.974937,9.621813,3.212395,3.231967,3.230368,9.015605,12.509789,8.554675,964.824656,2.56302,2.264033,1.167017,1.173091,1.172596,2.198957,2.526511,2.146478,132.905,207.2,126.904
60,1.8234,-15777.26503,-15780.873,12.982289,9.604488,3.212322,3.231482,3.228854,9.011923,12.510618,8.552997,964.305298,2.563586,2.26223,1.166994,1.172941,1.172127,2.198548,2.526578,2.146282,132.905,207.2,126.904
61,1.8234,-15777.20488,-15780.87066,13.004038,9.616602,3.211846,3.231055,3.228625,9.010805,12.508031,8.550364,963.689506,2.56526,2.263491,1.166846,1.172809,1.172056,2.198424,2.526371,2.145974,132.905,207.2,126.904
62,1.8223,-15777.1447,-15780.86824,13.015288,9.611198,3.211601,3.230552,3.227463,9.007793,12.507413,8.548246,963.081178,2.566125,2.262929,1.16677,1.172653,1.171696,2.19809,2.526322,2.145726,132.905,207.2,126.904
63,1.824,-15777.08472,-15780.86565,13.054625,9.657304,3.210561,3.230208,3.228939,9.010112,12.500514,8.544674,962.395504,2.569142,2.267714,1.166446,1.172546,1.172154,2.198348,2.52577,2.145308,132.905,207.2,126.904
64,1.8227,-15777.02462,-15780.86351,13.061771,9.642316,3.210461,3.229734,3.227499,9.006547,12.501077,8.543033,961.873247,2.56969,2.266161,1.166415,1.1724,1.171708,2.197952,2.525815,2.145116,132.905,207.2,126.904
65,1.8235,-15776.96468,-15780.86079,13.094277,9.672689,3.209856,3.229377,3.227947,9.006835,12.49685,8.539578,961.189812,2.572175,2.269306,1.166226,1.172289,1.171846,2.197984,2.525477,2.144712,132.905,207.2,126.904
66,1.824,-15776.90474,-15780.85806,13.122122,9.695617,3.209191,3.228979,3.228177,9.00671,12.492847,8.5365,960.522203,2.5743,2.271674,1.166019,1.172166,1.171918,2.19797,2.525156,2.144351,132.905,207.2,126.904
67,1.8226,-15776.84476,-15780.85598,13.127218,9.680181,3.208961,3.228468,3.226939,9.003514,12.492933,8.535155,960.036775,2.574688,2.270081,1.165947,1.172008,1.171534,2.197615,2.525163,2.144193,132.905,207.2,126.904
68,1.822,-15776.78484,-15780.85344,13.141811,9.680872,3.208685,3.228012,3.226088,9.001183,12.491828,8.532841,959.443193,2.575799,2.270152,1.165861,1.171867,1.17127,2.197356,2.525075,2.143922,132.905,207.2,126.904
69,1.8236,-15776.72509,-15780.85028,13.184844,9.728746,3.207814,3.227785,3.227217,9.003164,12.485464,8.528571,958.685411,2.579068,2.275085,1.16559,1.171796,1.17162,2.197576,2.524565,2.143422,132.905,207.2,126.904
70,1.822,-15776.66521,-15780.84804,13.186535,9.709537,3.207495,3.227156,3.225934,8.999677,12.485442,8.527476,958.189345,2.579196,2.273109,1.16549,1.171601,1.171223,2.197189,2.524563,2.143293,132.905,207.2,126.904
71,1.8224,-15776.60547,-15780.84504,13.216244,9.732882,3.206909,3.226756,3.226097,8.999382,12.481726,8.524167,957.501083,2.581447,2.27551,1.165307,1.171477,1.171273,2.197156,2.524266,2.142905,132.905,207.2,126.904
72,1.8242,-15776.54587,-15780.84183,13.267214,9.790589,3.206635,3.227026,3.226723,9.001634,12.47708,8.518538,956.75203,2.585296,2.281422,1.165222,1.171561,1.171467,2.197406,2.523893,2.142245,132.905,207.2,126.904
73,1.8244,-15776.48619,-15780.83905,13.291459,9.804913,3.206256,3.226672,3.226494,9.000634,12.474725,8.515673,956.143405,2.587122,2.282884,1.165104,1.171451,1.171396,2.197295,2.523705,2.141908,132.905,207.2,126.904
74,1.8243,-15776.42654,-15780.83627,13.31358,9.816953,3.20581,3.226317,3.226204,8.999634,12.47226,8.51291,955.538159,2.588785,2.284111,1.164965,1.171341,1.171306,2.197184,2.523507,2.141584,132.905,207.2,126.904
75,1.823,-15776.36683,-15780.8338,13.313103,9.795076,3.205128,3.225341,3.225433,8.996036,12.470971,8.512678,955.031498,2.588749,2.28188,1.164752,1.171039,1.171067,2.196784,2.523404,2.141557,132.905,207.2,126.904
76,1.8222,-15776.24768,-15780.82863,13.344759,9.801618,3.204314,3.224485,3.224482,8.992918,12.467436,8.508422,953.952541,2.591124,2.282547,1.164498,1.170773,1.170772,2.196437,2.52312,2.141056,132.905,207.2,126.904
77,1.8222,-15776.24768,-15780.82863,13.344759,9.801618,3.204314,3.224485,3.224482,8.992918,12.467436,8.508422,953.952541,2.591124,2.282547,1.164498,1.170773,1.170772,2.196437,2.52312,2.141056,132.905,207.2,126.904
78,1.8243,-15776.18865,-15780.82369,13.448977,9.938541,3.204847,3.226916,3.224717,9.002763,12.46118,8.493391,952.831507,2.598903,2.29642,1.164664,1.171527,1.170845,2.197532,2.522618,2.139288,132.905,207.2,126.904
79,1.8239,-15775.89179,-15780.80828,13.563972,9.998404,3.202831,3.225206,3.223059,8.997711,12.449688,8.47879,949.78296,2.607417,2.302425,1.164035,1.170997,1.170331,2.19697,2.521696,2.137568,132.905,207.2,126.904
